text,label
Is it a ge course,GE_PROPOSED_AREA
Is is area 3,GE_PROPOSED_AREA
Is it area 2,GE_PROPOSED_AREA
Is it area 1,GE_PROPOSED_AREA
Is is area three course,GE_PROPOSED_AREA
Is it area two course,GE_PROPOSED_AREA
Is it area one course,GE_PROPOSED_AREA
Is it a major course,GE_PROPOSED_AREA
ge course,GE_PROPOSED_AREA
ge,GE_PROPOSED_AREA
what is its area,GE_PROPOSED_AREA
ge area,GE_PROPOSED_AREA
electives,GE_PROPOSED_AREA
is it a electives,GE_PROPOSED_AREA
electives course,GE_PROPOSED_AREA
is it belong to area 3 course,GE_PROPOSED_AREA
course electives,GE_PROPOSED_AREA
area one course,GE_PROPOSED_AREA
area two course,GE_PROPOSED_AREA
area three course,GE_PROPOSED_AREA
Is it a general requirement,GE_PROPOSED_AREA
language that professor use,MEDIUM
what professor speak in lecture,MEDIUM
language of the assessments need to used,MEDIUM
do I need to write english,MEDIUM
What language for the assignments,MEDIUM
What language should the assignments be written in?,MEDIUM
Which language should be used for the tasks?,MEDIUM
Which language should the tasks be completed in?,MEDIUM
assignment language,MEDIUM
language of the assignment,MEDIUM
Which language should be used for the assignement?,MEDIUM
What language would be used to teach,MEDIUM
What language will the teacher speak,MEDIUM
What kind of language would be utilized to instruct?,MEDIUM
What would be the language of instruction?,MEDIUM
What will the teacher's native language be?,MEDIUM
What would the instruction language be?,MEDIUM
What language would be used to communicate?,MEDIUM
What would be the teaching language?,MEDIUM
Who teach this lecture,TEACHER
Who is the lecturer for this class?,TEACHER
"For this class, who is the lecturer?",TEACHER
What is the name of the professor for this course?,TEACHER
How many people will teach this course,TEACHER
What is the estimated number of persons who will teach this course?,TEACHER
What is the expected number of instructors for this course?,TEACHER
How many persons are going to teach this class?,TEACHER
Any teaching assistants,TEACHER
Are there any teaching assistants?,TEACHER
Any aides to the teacher,TEACHER
Any teaching helpers available?,TEACHER
teacher,TEACHER
teachers,TEACHER
teaching assistant,TEACHER
Who is the teacher,TEACHER
Who will teach,TEACHER
Who teach ,TEACHER
Will Dr. Chan teach,TEACHER
Is there any TA,TEACHER
Will there have TA,TEACHER
Are there any TA,TEACHER
Do I need to attend extra lesson,TUTORIAL_INFO
Is there any tutorial ,TUTORIAL_INFO
What the tutorial teach,TUTORIAL_INFO
What the tutorial do,TUTORIAL_INFO
What does the tutorial accomplish?,TUTORIAL_INFO
What does the tutorial help achieve?,TUTORIAL_INFO
How many lesson of tutorial,TUTORIAL_INFO
How many tutorial lesson,TUTORIAL_INFO
What the tutorial talk about,TUTORIAL_INFO
what will we need to do in the tutorial,TUTORIAL_INFO
tutorial ,TUTORIAL_INFO
can I not attend tutorial ,TUTORIAL_INFO
have tut,TUTORIAL_INFO
are there any tut,TUTORIAL_INFO
this course have tut,TUTORIAL_INFO
have tut or not,TUTORIAL_INFO
any tutorial,TUTORIAL_INFO
any tut,TUTORIAL_INFO
tutorial do what,TUTORIAL_INFO
